resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,dem_agegrp_iwdate_x,sample_region,inc_totmiss40,relig_church,dem_edu,pid_self,libcpre_self,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,knowl_senmaj_f,knowl_housemaj_f,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,soph
5,5,1,3,1,1,0,1,1,1,5,3,1,2,10,2,5,40,2,3,3,4,3,4,Correct,Correct,Disagree Strongly,Disagree Strongly,Agree Strongly,Neither,0.8
5,5,4,3,1,0,1,0,0,2,9,3,2,1,13,2,5,85,3,4,4,4,4,4,Incorrect,Incorrect,Disagree Strongly,Disagree Strongly,Disagree,Neither,0.4
4,2,4,2,1,0,1,1,1,1,5,1,1,2,14,3,3,60,2,3,4,4,3,3,Correct,Correct,Disagree,Agree,Disagree,Agree,0.8
5,5,3,1,1,1,1,1,1,2,13,3,2,1,10,2,6,70,5,1,5,1,1,5,Correct,Correct,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,1
3,4,3,4,1,0,0,0,0,1,8,3,2,1,10,1,5,85,1,3,2,2,3,3,Incorrect,Incorrect,Neither,Disagree,Neither,Disagree,0.2
3,2,2,3,0,0,0,0,0,2,3,2,2,1,12,3,4,60,1,4,1,1,4,1,Incorrect,Incorrect,Neither,Agree,Agree,Neither,0
2,3,3,2,1,0,0,1,0,2,3,3,2,2,14,2,5,85,2,3,3,2,2,4,Correct,Incorrect,Agree,Neither,Neither,Agree,0.4
3,4,2,3,1,0,1,0,1,2,1,4,2,1,10,3,3,70,2,5,2,4,3,2,Incorrect,Correct,Neither,Disagree,Agree,Neither,0.6
5,2,2,1,1,1,1,1,1,2,11,3,1,1,9,2,6,60,2,1,2,2,4,4,Correct,Correct,Disagree Strongly,Agree,Agree,Agree Strongly,1
1,2,4,4,1,1,0,0,0,2,10,3,1,1,10,1,4,90,1,5,1,5,5,2,Incorrect,Incorrect,Agree Strongly,Agree,Disagree,Disagree,0.4
2,2,4,4,1,1,1,0,0,2,4,3,1,1,10,1,4,100,1,4,1,4,5,1,Incorrect,Incorrect,Agree,Agree,Disagree,Disagree,0.6
