resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
4,5,4,5,1,1,1,1,1,2,2,2,1,2,2,1,57,22,70,5,5,4,5,5,5,1,0,2,Correct,Correct,1,1,0,1,0.9666666666666667,0.5,Disagree,Disagree Strongly,Agree,Agree Strongly,2012,4,4,5,5
5,5,4,5,1,0,0,1,1,1,1,2,2,3,3,1,56,19,85,5,1,5,1,1,4,1,1,4,Correct,Correct,0,0,0,0.6,0.5666666666666667,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
3,2,4,4,1,0,0,0,1,2,1,2,3,4,2,1,60,1,50,4,3,3,2,3,4,0,0,5,Incorrect,Correct,0,1,0,0.4,0.6333333333333333,0,Neither,Agree,Agree,Agree,2012,3,4,4,2
5,5,3,5,1,0,1,1,1,2,2,1,2,7,1,1,75,5,85,5,3,2,4,3,3,1,1,4,Correct,Correct,0,1,0,0.8,0.6666666666666666,1,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,2012,5,3,5,5
2,2,2,3,1,0,0,0,1,2,4,1,1,3,4,1,48,12,85,5,3,4,4,4,5,0,0,4,Incorrect,Correct,1,1,0,0.4,0.8333333333333334,0,Agree,Agree,Disagree,Neither,2012,2,2,3,2
5,5,3,5,1,0,0,0,0,2,1,1,3,5,3,1,53,17,85,3,2,2,1,5,4,1,0,3,Incorrect,Incorrect,0,1,0,0.2,0.5666666666666667,0.5,Disagree Strongly,Disagree Strongly,Neither,Agree Strongly,2012,5,3,5,5
5,2,2,3,1,1,1,1,1,1,4,2,3,2,3,1,34,28,80,2,4,2,5,3,4,1,0,4,Correct,Correct,0,0,0,1,0.6666666666666666,0.5,Disagree Strongly,Agree,Disagree,Neither,2012,5,2,3,2
5,5,4,4,1,1,0,1,1,2,3,2,2,5,4,1,37,24,70,4,3,2,3,2,2,1,1,4,Correct,Correct,0,1,1,0.8,0.5333333333333333,1,Disagree Strongly,Disagree Strongly,Agree,Agree,2012,5,4,4,5
4,4,3,3,1,1,1,1,1,1,2,1,2,7,5,1,55,24,50,4,2,1,2,3,3,1,1,2,Correct,Correct,0,0,0,1,0.5,1,Disagree,Disagree,Neither,Neither,2012,4,3,3,4
3,4,3,5,1,0,1,0,0,2,4,1,1,4,5,1,35,28,60,3,3,2,2,2,3,1,1,2,Incorrect,Incorrect,1,1,0,0.4,0.5,1,Neither,Disagree,Neither,Agree Strongly,2012,3,3,5,4
5,5,5,5,1,1,1,1,1,1,4,1,2,2,4,1,73,1,15,5,1,1,1,2,3,1,1,4,Correct,Correct,0,0,0,1,0.43333333333333335,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,4,2,4,1,1,1,1,1,1,4,2,1,1,3,1,19,23,85,4,4,4,4,2,4,1,0,4,Correct,Correct,1,0,0,1,0.7333333333333333,0.5,Disagree,Disagree,Disagree,Agree,2012,4,2,4,4
2,2,2,2,1,1,1,1,1,2,4,1,1,3,4,1,51,27,50,4,3,3,3,3,4,0,0,4,Correct,Correct,1,1,0,1,0.6666666666666666,0,Agree,Agree,Disagree,Disagree,2012,2,2,2,2
2,4,5,5,1,0,0,0,0,2,3,1,2,3,4,1,23,1,85,2,4,5,4,1,4,1,1,2,Incorrect,Incorrect,0,1,1,0.2,0.6666666666666666,1,Agree,Disagree,Agree Strongly,Agree Strongly,2012,2,5,5,4
3,2,2,2,1,1,1,1,1,1,4,2,1,2,5,1,42,18,50,5,5,4,5,4,4,0,0,5,Correct,Correct,1,0,0,1,0.9,0,Neither,Agree,Disagree,Disagree,2012,3,2,2,2
4,4,5,4,1,0,0,0,0,2,4,2,2,6,5,1,68,24,75,5,2,3,4,5,5,1,1,3,Incorrect,Incorrect,0,1,0,0.2,0.8,1,Disagree,Disagree,Agree Strongly,Agree,2012,4,5,4,4
5,2,4,4,1,1,1,0,0,2,3,2,3,5,2,1,73,11,70,4,1,2,2,3,2,1,1,2,Incorrect,Incorrect,0,1,1,0.6,0.4666666666666667,1,Disagree Strongly,Agree,Agree,Agree,2012,5,4,4,2
3,4,4,5,1,1,1,0,1,2,1,2,3,4,2,1,72,12,80,5,2,4,4,4,4,0,0,4,Incorrect,Correct,0,1,0,0.8,0.7666666666666667,0,Neither,Disagree,Agree,Agree Strongly,2012,3,4,5,4
